pressure [Pa],temperature [C]=19,temperature [C]=20,temperature [C]=21
100000,0.0382885,0.0372334,0.0362173
101000,0.0386774,0.0376122,0.0365864
102000,0.0390663,0.0379909,0.0369554
103000,0.0394551,0.0383696,0.0373243
104000,0.0398439,0.0387483,0.0376932
105000,0.0402326,0.0391268,0.0380621
106000,0.0406213,0.0395054,0.0384309
107000,0.0410099,0.0398839,0.0387996
108000,0.0413985,0.0402623,0.0391683
109000,0.041787,0.0406407,0.039537
110000,0.0421755,0.0410191,0.0399056
111000,0.0425639,0.0413973,0.0402742
112000,0.0429523,0.0417756,0.0406427
113000,0.0433406,0.0421538,0.0410111
114000,0.0437288,0.0425319,0.0413796
115000,0.044117,0.04291,0.0417479
116000,0.0445052,0.043288,0.0421162
117000,0.0448933,0.043666,0.0424845
118000,0.0452813,0.0440439,0.0428527
119000,0.0456693,0.0444218,0.0432209
120000,0.0460572,0.0447996,0.043589
121000,0.0464451,0.0451774,0.0439571
122000,0.046833,0.0455552,0.0443251
123000,0.0472207,0.0459328,0.0446931
124000,0.0476085,0.0463105,0.045061
125000,0.0479961,0.046688,0.0454289
126000,0.0483838,0.0470656,0.0457967
127000,0.0487713,0.047443,0.0461645
128000,0.0491588,0.0478205,0.0465322
129000,0.0495463,0.0481978,0.0468999
130000,0.0499337,0.0485752,0.0472675
131000,0.0503211,0.0489524,0.0476351
132000,0.0507084,0.0493297,0.0480026
133000,0.0510956,0.0497068,0.0483701
134000,0.0514828,0.0500839,0.0487375
135000,0.05187,0.050461,0.0491049
136000,0.0522571,0.050838,0.0494722
137000,0.0526441,0.051215,0.0498395
138000,0.0530311,0.0515919,0.0502068
139000,0.053418,0.0519688,0.0505739
140000,0.0538049,0.0523456,0.0509411
141000,0.0541917,0.0527224,0.0513082
142000,0.0545785,0.0530991,0.0516752
143000,0.0549653,0.0534757,0.0520422
144000,0.0553519,0.0538523,0.0524091
145000,0.0557385,0.0542289,0.052776
146000,0.0561251,0.0546054,0.0531429
147000,0.0565116,0.0549819,0.0535097
148000,0.0568981,0.0553583,0.0538764
149000,0.0572845,0.0557346,0.0542431
150000,0.0576709,0.056111,0.0546098
151000,0.0580572,0.0564872,0.0549764
152000,0.0584434,0.0568634,0.0553429
153000,0.0588296,0.0572396,0.0557094
154000,0.0592158,0.0576157,0.0560759
155000,0.0596019,0.0579917,0.0564423
156000,0.0599879,0.0583677,0.0568086
157000,0.0603739,0.0587437,0.0571749
158000,0.0607598,0.0591196,0.0575412
159000,0.0611457,0.0594954,0.0579074
160000,0.0615315,0.0598712,0.0582736
161000,0.0619173,0.060247,0.0586397
162000,0.0623031,0.0606227,0.0590057
163000,0.0626887,0.0609983,0.0593717
164000,0.0630743,0.0613739,0.0597377
165000,0.0634599,0.0617495,0.0601036
166000,0.0638454,0.062125,0.0604695
167000,0.0642309,0.0625004,0.0608353
168000,0.0646163,0.0628758,0.0612011
169000,0.0650017,0.0632512,0.0615668
170000,0.065387,0.0636264,0.0619325
171000,0.0657722,0.0640017,0.0622981
172000,0.0661574,0.0643769,0.0626636
173000,0.0665426,0.064752,0.0630292
174000,0.0669277,0.0651271,0.0633946
175000,0.0673127,0.0655022,0.0637601
176000,0.0676977,0.0658771,0.0641254
177000,0.0680826,0.0662521,0.0644908
178000,0.0684675,0.066627,0.064856
179000,0.0688524,0.0670018,0.0652213
180000,0.0692371,0.0673766,0.0655865
181000,0.0696219,0.0677513,0.0659516
182000,0.0700066,0.068126,0.0663167
183000,0.0703912,0.0685007,0.0666817
184000,0.0707757,0.0688752,0.0670467
185000,0.0711603,0.0692498,0.0674116
186000,0.0715447,0.0696243,0.0677765
187000,0.0719291,0.0699987,0.0681414
188000,0.0723135,0.0703731,0.0685061
189000,0.0726978,0.0707474,0.0688709
190000,0.0730821,0.0711217,0.0692356
191000,0.0734663,0.0714959,0.0696002
192000,0.0738504,0.0718701,0.0699648
193000,0.0742345,0.0722442,0.0703294
194000,0.0746186,0.0726183,0.0706939
195000,0.0750026,0.0729923,0.0710583
196000,0.0753865,0.0733663,0.0714227
197000,0.0757704,0.0737402,0.0717871
198000,0.0761542,0.0741141,0.0721514
199000,0.076538,0.0744879,0.0725156
200000,0.0769217,0.0748617,0.0728798
